domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
transport,10,unfactored,PlanningResult.SUCCESS,41,74162,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,34,75820,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,39,76263,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,38,76150,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,36,76836,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,43,78747,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,40,78930,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,39,78590,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,40,79723,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,42,80805,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,37,80629,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,44,83876,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,38,81872,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,37,85803,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,37,80893,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,44,81095,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,45,84636,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,46,86155,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,43,87717,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,45,86037,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,46,85165,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,42,85422,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,44,88590,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,44,87445,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,43,88993,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,45,88260,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,42,86363,1000,20,100,1.4142135623730951,True,5,-0.1,1,
