domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,166385,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,57223,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,73912,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,73124,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,82564,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,126709,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,123531,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,152783,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,153744,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,149555,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,156224,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,155320,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,152546,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,152120,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,152661,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,156563,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,155323,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,160595,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,151500,1000,20,100,1.4142135623730951,True,5,-0.1,1,
